locus_tag	ftype	length_bp	gene	EC_number	COG	product
AFKFBACJ_00001	gene	1338				
AFKFBACJ_00001	CDS	1338				hypothetical protein
AFKFBACJ_00002	gene	1170	aes_1			
AFKFBACJ_00002	CDS	1170	aes_1	3.1.1.-		Acetyl esterase
AFKFBACJ_00003	gene	1623				
AFKFBACJ_00003	CDS	1623		3.1.1.102		Mono(2-hydroxyethyl) terephthalate hydrolase
AFKFBACJ_00004	gene	2184	bglB			
AFKFBACJ_00004	CDS	2184	bglB	3.2.1.21	COG1472	Thermostable beta-glucosidase B
AFKFBACJ_00005	gene	2877				
AFKFBACJ_00005	CDS	2877		3.2.1.40		Alpha-L-rhamnosidase
AFKFBACJ_00006	gene	1026				
AFKFBACJ_00006	CDS	1026				hypothetical protein
AFKFBACJ_00007	gene	2427	btuB_1			
AFKFBACJ_00007	CDS	2427	btuB_1			Vitamin B12 transporter BtuB
AFKFBACJ_00008	gene	1425	nylA			
AFKFBACJ_00008	CDS	1425	nylA	3.5.2.12		6-aminohexanoate-cyclic-dimer hydrolase
AFKFBACJ_00009	gene	1188				
AFKFBACJ_00009	CDS	1188				hypothetical protein
AFKFBACJ_00010	gene	1653	pnbA_1			
AFKFBACJ_00010	CDS	1653	pnbA_1	3.1.1.-	COG2272	Para-nitrobenzyl esterase
AFKFBACJ_00011	gene	633	cymR			
AFKFBACJ_00011	CDS	633	cymR			HTH-type transcriptional regulator CymR
AFKFBACJ_00012	gene	471				
AFKFBACJ_00012	CDS	471				hypothetical protein
AFKFBACJ_00013	gene	492	RBKS			
AFKFBACJ_00013	CDS	492	RBKS	2.7.1.15		Ribokinase
AFKFBACJ_00014	gene	144				
AFKFBACJ_00014	CDS	144				hypothetical protein
AFKFBACJ_00015	gene	939	ousA			
AFKFBACJ_00015	CDS	939	ousA			Glycine betaine/proline/ectoine/pipecolic acid transporter OusA
AFKFBACJ_00016	gene	2685				
AFKFBACJ_00016	CDS	2685				hypothetical protein
AFKFBACJ_00017	gene	375	mecI			
AFKFBACJ_00017	CDS	375	mecI			Methicillin resistance regulatory protein MecI
AFKFBACJ_00018	gene	1578				
AFKFBACJ_00018	CDS	1578				hypothetical protein
AFKFBACJ_00019	gene	1878				
AFKFBACJ_00019	CDS	1878				hypothetical protein
AFKFBACJ_00020	gene	1806				
AFKFBACJ_00020	CDS	1806				hypothetical protein
AFKFBACJ_00021	gene	1329				
AFKFBACJ_00021	CDS	1329				hypothetical protein
AFKFBACJ_00022	gene	1974				
AFKFBACJ_00022	CDS	1974				hypothetical protein
AFKFBACJ_00023	gene	786				
AFKFBACJ_00023	CDS	786				hypothetical protein
AFKFBACJ_00024	gene	417				
AFKFBACJ_00024	CDS	417				hypothetical protein
AFKFBACJ_00025	gene	2409	silP_1			
AFKFBACJ_00025	CDS	2409	silP_1	7.2.2.15		Silver exporting P-type ATPase
AFKFBACJ_00026	gene	1920	glsA			
AFKFBACJ_00026	CDS	1920	glsA	3.5.1.2		Glutaminase
AFKFBACJ_00027	gene	3735				
AFKFBACJ_00027	CDS	3735				hypothetical protein
AFKFBACJ_00028	gene	1185				
AFKFBACJ_00028	CDS	1185				hypothetical protein
AFKFBACJ_00029	gene	429	infC_1			
AFKFBACJ_00029	CDS	429	infC_1		COG0290	Translation initiation factor IF-3
AFKFBACJ_00030	gene	1257	fucP_1			
AFKFBACJ_00030	CDS	1257	fucP_1		COG0738	L-fucose-proton symporter
AFKFBACJ_00031	gene	1644	fadD3_1			
AFKFBACJ_00031	CDS	1644	fadD3_1	6.2.1.41	COG0318	3-[(3aS,4S,7aS)-7a-methyl-1,5-dioxo-octahydro-1H-inden-4-yl]propanoyl:CoA ligase
AFKFBACJ_00032	gene	1266				
AFKFBACJ_00032	CDS	1266				hypothetical protein
AFKFBACJ_00033	gene	432	exbD_1			
AFKFBACJ_00033	CDS	432	exbD_1		COG0848	Biopolymer transport protein ExbD
AFKFBACJ_00034	gene	426	exbD_2			
AFKFBACJ_00034	CDS	426	exbD_2		COG0848	Biopolymer transport protein ExbD
AFKFBACJ_00035	gene	849	tolQ_1			
AFKFBACJ_00035	CDS	849	tolQ_1			Tol-Pal system protein TolQ
AFKFBACJ_00036	gene	624				
AFKFBACJ_00036	CDS	624				hypothetical protein
AFKFBACJ_00037	gene	3423				
AFKFBACJ_00037	CDS	3423				hypothetical protein
AFKFBACJ_00038	gene	930				
AFKFBACJ_00038	CDS	930				hypothetical protein
AFKFBACJ_00039	gene	822				
AFKFBACJ_00039	CDS	822				hypothetical protein
AFKFBACJ_00040	gene	552				
AFKFBACJ_00040	CDS	552				hypothetical protein
AFKFBACJ_00041	gene	759	ucpA			
AFKFBACJ_00041	CDS	759	ucpA	1.-.-.-		Oxidoreductase UcpA
AFKFBACJ_00042	gene	405				
AFKFBACJ_00042	CDS	405			COG2852	putative protein
AFKFBACJ_00043	gene	1737				
AFKFBACJ_00043	CDS	1737		1.3.99.4		3-oxosteroid 1-dehydrogenase
AFKFBACJ_00044	gene	1206	hsaA_1			
AFKFBACJ_00044	CDS	1206	hsaA_1	1.14.14.12		Flavin-dependent monooxygenase, oxygenase subunit HsaA
AFKFBACJ_00045	gene	1113	kshA_1			
AFKFBACJ_00045	CDS	1113	kshA_1	1.14.15.30		3-ketosteroid-9-alpha-monooxygenase, oxygenase component
AFKFBACJ_00046	gene	384	ksi_1			
AFKFBACJ_00046	CDS	384	ksi_1	5.3.3.1		Steroid Delta-isomerase
AFKFBACJ_00047	gene	1287				
AFKFBACJ_00047	CDS	1287				hypothetical protein
AFKFBACJ_00048	gene	525				
AFKFBACJ_00048	CDS	525				hypothetical protein
AFKFBACJ_00049	gene	492	baiE			
AFKFBACJ_00049	CDS	492	baiE	4.2.1.106		Bile acid 7-alpha dehydratase
AFKFBACJ_00050	gene	297	bacC_1			
AFKFBACJ_00050	CDS	297	bacC_1	1.1.1.385		Dihydroanticapsin 7-dehydrogenase
AFKFBACJ_00051	gene	1260				
AFKFBACJ_00051	CDS	1260				hypothetical protein
AFKFBACJ_00052	gene	621	osmY_1			
AFKFBACJ_00052	CDS	621	osmY_1		COG2823	Osmotically-inducible protein Y
AFKFBACJ_00053	gene	180				
AFKFBACJ_00053	CDS	180				hypothetical protein
AFKFBACJ_00054	gene	204				
AFKFBACJ_00054	CDS	204				hypothetical protein
AFKFBACJ_00055	gene	216				
AFKFBACJ_00055	CDS	216				hypothetical protein
AFKFBACJ_00056	gene	252				
AFKFBACJ_00056	CDS	252				hypothetical protein
AFKFBACJ_00057	gene	1470	atoC_1			
AFKFBACJ_00057	CDS	1470	atoC_1		COG2204	Regulatory protein AtoC
AFKFBACJ_00058	gene	369				
AFKFBACJ_00058	CDS	369				hypothetical protein
AFKFBACJ_00059	gene	966				
AFKFBACJ_00059	CDS	966				hypothetical protein
AFKFBACJ_00060	gene	867	rhaR_1			
AFKFBACJ_00060	CDS	867	rhaR_1			HTH-type transcriptional activator RhaR
AFKFBACJ_00061	gene	369				
AFKFBACJ_00061	CDS	369				hypothetical protein
AFKFBACJ_00062	gene	2100	rcsC_1			
AFKFBACJ_00062	CDS	2100	rcsC_1	2.7.13.3		Sensor histidine kinase RcsC
AFKFBACJ_00063	gene	654				
AFKFBACJ_00063	CDS	654				hypothetical protein
AFKFBACJ_00064	gene	1878				
AFKFBACJ_00064	CDS	1878				hypothetical protein
AFKFBACJ_00065	gene	624				
AFKFBACJ_00065	CDS	624				hypothetical protein
AFKFBACJ_00066	gene	2817	btuB_2			
AFKFBACJ_00066	CDS	2817	btuB_2			Vitamin B12 transporter BtuB
AFKFBACJ_00067	gene	294				
AFKFBACJ_00067	CDS	294				hypothetical protein
AFKFBACJ_00068	gene	543	rayT_1			
AFKFBACJ_00068	CDS	543	rayT_1		COG1943	REP-associated tyrosine transposase
AFKFBACJ_00069	gene	612	nsaD_1			
AFKFBACJ_00069	CDS	612	nsaD_1	5.99.1.4		2-hydroxychromene-2-carboxylate isomerase
AFKFBACJ_00070	gene	738	kduD			
AFKFBACJ_00070	CDS	738	kduD	1.1.1.127		2-dehydro-3-deoxy-D-gluconate 5-dehydrogenase
AFKFBACJ_00071	gene	465				
AFKFBACJ_00071	CDS	465			COG1733	putative HTH-type transcriptional regulator
AFKFBACJ_00072	gene	492	resA_1			
AFKFBACJ_00072	CDS	492	resA_1			Thiol-disulfide oxidoreductase ResA
AFKFBACJ_00073	gene	252				
AFKFBACJ_00073	CDS	252				hypothetical protein
AFKFBACJ_00074	gene	1398	chiA			
AFKFBACJ_00074	CDS	1398	chiA			putative bifunctional chitinase/lysozyme
AFKFBACJ_00075	gene	1125				
AFKFBACJ_00075	CDS	1125				hypothetical protein
AFKFBACJ_00076	gene	558	yecD			
AFKFBACJ_00076	CDS	558	yecD	3.-.-.-	COG1335	Isochorismatase family protein YecD
AFKFBACJ_00077	gene	615				
AFKFBACJ_00077	CDS	615				hypothetical protein
AFKFBACJ_00078	gene	615				
AFKFBACJ_00078	CDS	615				hypothetical protein
AFKFBACJ_00079	gene	957				
AFKFBACJ_00079	CDS	957				hypothetical protein
AFKFBACJ_00080	gene	2586				
AFKFBACJ_00080	CDS	2586				hypothetical protein
AFKFBACJ_00081	gene	630				
AFKFBACJ_00081	CDS	630				hypothetical protein
AFKFBACJ_00082	gene	918				
AFKFBACJ_00082	CDS	918				hypothetical protein
AFKFBACJ_00083	gene	549				
AFKFBACJ_00083	CDS	549				hypothetical protein
AFKFBACJ_00084	gene	1983				
AFKFBACJ_00084	CDS	1983				hypothetical protein
AFKFBACJ_00085	gene	89				
AFKFBACJ_00085	tRNA	89				tRNA-Val(gac)
AFKFBACJ_00086	gene	696				
AFKFBACJ_00086	CDS	696				hypothetical protein
AFKFBACJ_00087	gene	591	rpoE_1			
AFKFBACJ_00087	CDS	591	rpoE_1			ECF RNA polymerase sigma-E factor
AFKFBACJ_00088	gene	735				
AFKFBACJ_00088	CDS	735				hypothetical protein
AFKFBACJ_00089	gene	1278	fadI_1			
AFKFBACJ_00089	CDS	1278	fadI_1	2.3.1.16	COG0183	3-ketoacyl-CoA thiolase FadI
AFKFBACJ_00090	gene	1404	yhdG_1			
AFKFBACJ_00090	CDS	1404	yhdG_1		COG0531	putative amino acid permease YhdG
AFKFBACJ_00091	gene	555				
AFKFBACJ_00091	CDS	555				hypothetical protein
AFKFBACJ_00092	gene	642				
AFKFBACJ_00092	CDS	642				hypothetical protein
